Eval,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?,How likely is it that image (a) portrays the same fictional character as the original image?,How likely is it that image (b) portrays the same fictional character as the original image?,How likely is it that image (c) portrays the same fictional character as the original image?,How likely is it that image (d) portrays the same fictional character as the original image?
RESP1,4,3,5,4,5,5,3,5,1,1,2,4,1,1,1,5,1,1,2,2,1,2,5,5,1,1,1,5,1,5,3,5,1,2,1,5,1,3,3,3
RESP2,4,2,4,3,2,3,3,3,2,2,4,4,1,1,1,4,3,3,4,3,3,4,4,4,2,2,2,3,3,4,3,5,1,1,1,3,1,2,3,2
RESP3,2,1,1,3,4,2,2,4,1,1,2,1,1,1,1,4,2,1,2,2,1,3,1,1,1,1,1,3,1,4,1,2,1,2,1,3,1,1,1,1
RESP4,4,1,4,4,5,5,5,5,2,1,1,3,1,1,3,2,3,4,3,3,4,4,4,3,4,4,2,3,1,4,3,4,2,4,3,5,2,4,3,1
RESP5,4,1,2,2,2,4,2,4,2,1,3,4,1,1,2,3,1,2,2,2,2,3,4,4,1,1,1,2,2,4,2,4,1,3,1,5,2,3,3,1
RESP6,2,3,3,4,4,4,1,3,1,1,1,3,1,1,1,1,2,2,3,4,3,4,5,5,1,1,1,4,3,3,4,5,1,3,1,4,1,2,2,1
RESP7,3,1,4,1,3,2,1,4,1,2,1,3,2,1,1,1,1,1,2,1,1,3,3,2,1,1,1,1,1,2,2,1,1,1,1,3,1,1,1,1
RESP8,2,1,2,3,1,1,1,1,2,1,1,3,1,3,2,1,1,1,4,3,1,2,4,3,1,1,1,2,1,1,2,3,1,2,1,2,1,2,2,4
RESP9,4,1,3,5,3,4,2,2,1,1,2,3,1,1,1,2,2,2,3,3,1,2,5,4,2,3,1,5,3,4,5,4,1,2,1,5,1,5,5,2
RESP10,2,1,1,2,4,3,2,4,1,1,1,3,1,1,1,1,1,1,2,1,1,4,5,5,1,1,1,2,1,3,2,2,1,1,1,2,1,3,3,1
RESP11,3,2,2,3,1,2,1,3,1,1,2,1,1,1,2,3,1,1,3,3,3,4,4,3,1,1,1,2,1,3,3,4,1,2,1,4,1,1,1,3
RESP12,3,1,2,3,4,3,2,4,1,1,2,2,1,1,1,3,1,1,2,1,1,1,5,4,2,2,1,4,1,3,4,4,1,1,1,3,1,3,3,2
RESP13,2,1,2,1,3,3,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,3,3,1,1,1,1,3,2,3,4,1,1,1,3,1,3,3,1
